W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741528636800,1.62238,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741531642600,1.73641,10,10,10,6.66753,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741536636600,1.68762,10,10,10,6.66753,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741540636500,1.52367,10,10,10,6.66753,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741543636900,1.6569,10,10,10,6.66753,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741547637600,1.64092,10,10,10,6.66753,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741552636800,1.55461,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741555637700,1.63973,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741560636500,1.55416,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741564637300,1.52977,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741567636800,1.71255,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741572636900,1.6177,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741576636500,1.66541,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741580637100,1.54885,10,10,10,6.66753,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741583637100,1.67003,10,10,10,7.85064,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741588636400,1.63056,10,10,10,7.85064,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741591637100,1.65345,10,10,10,7.85064,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741595637700,1.6177,10,10,10,7.85064,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741599636800,1.73058,10,10,10,7.85064,12,-4383
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741603637000,1.64596,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741608636600,1.42354,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741612636800,1.57955,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741615639500,1.67305,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741620636400,1.50564,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741624636500,1.6572,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741627636900,1.55602,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741631638100,1.62919,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741636636600,1.67686,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741640636900,1.61316,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741644636500,1.56878,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741647638000,1.69085,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741651636800,1.66807,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741655636800,1.67906,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741660636500,1.45978,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741664638400,1.49904,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741668636500,1.53209,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741672636500,1.61667,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741675637000,1.6826,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741680636900,1.60824,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741684636500,1.62174,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741687637200,1.72832,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741692636500,1.71242,10,10,10,7.85064,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741696636400,1.68625,10,10,10,10.3272,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741699640200,1.82922,10,10,10,10.3272,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741704636500,1.73019,10,10,10,10.3272,12,-4343
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741708636500,1.77442,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741711636800,1.77229,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741715639300,1.7573,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741719637400,1.62423,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741723638100,1.6605,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741728636700,1.70987,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741731637700,1.60636,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741735637100,1.64724,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741740636400,1.49847,10,10,10,10.3272,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741744636500,1.6594,10,10,10,11.6306,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.626,1772470741747638500,1.64285,10,10,10,11.6306,12,-4251
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741751636800,1.61832,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741756636700,1.59401,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741759636800,1.54889,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741764638100,1.64345,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741767636800,1.68486,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741771639200,1.6057,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741776637200,1.656,10,10,10,11.6306,12,-4215
W. Europe Standard Time 2026-03-02 16:59:07.627,1772470741779636800,1.63865,10,10,10,11.6306,12,-4215
